nba_player_id,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Age,Awards,BLK,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
aminual01,5.6,11.4,0.496,0.3,1.2,0.271,2.9,23.0,,1.0,9.3,108.0,6.0,12.6,0.474,2.3,3.5,0.664,80.0,65.0,NBA,2045.0,3.3,105.0,3.7,14.6,SF,2.1,2013-14,2.2,12.6,NOP,0.487
aminual01,4.2,8.6,0.485,1.3,4.6,0.274,2.2,24.0,,2.3,8.4,102.0,5.4,13.2,0.412,3.1,4.4,0.712,74.0,3.0,NBA,1366.0,4.2,107.0,5.1,15.2,SF,2.6,2014-15,2.0,12.6,DAL,0.459
aminual01,3.7,7.9,0.468,2.7,7.5,0.361,2.9,25.0,,1.1,8.6,107.0,6.4,15.4,0.416,2.5,3.3,0.737,82.0,82.0,NBA,2341.0,2.1,105.0,3.7,17.9,SF,1.5,2015-16,2.6,10.7,POR,0.503
aminual01,3.2,7.1,0.445,2.0,5.9,0.33,2.8,26.0,,1.2,10.5,108.0,5.1,13.1,0.393,2.7,3.8,0.706,61.0,25.0,NBA,1773.0,2.2,100.0,2.9,14.9,PF,1.7,2016-17,2.6,12.6,POR,0.468
aminual01,2.5,5.8,0.432,3.0,8.1,0.369,2.0,27.0,,1.0,10.3,104.0,5.5,14.0,0.395,1.4,1.9,0.738,69.0,67.0,NBA,2072.0,2.3,105.0,3.3,15.5,PF,1.9,2017-18,1.9,12.6,POR,0.503
aminual01,3.4,6.6,0.514,2.0,5.9,0.343,2.2,28.0,,0.7,10.5,109.0,5.4,12.5,0.433,3.2,3.7,0.867,81.0,81.0,NBA,2292.0,2.4,118.0,3.0,16.1,PF,1.4,2018-19,1.5,12.9,POR,0.514
aminual01,2.0,6.4,0.32,1.2,4.6,0.25,2.7,29.0,,1.0,8.1,108.0,3.2,11.0,0.291,2.4,3.7,0.655,18.0,2.0,NBA,380.0,3.1,88.0,3.5,10.0,PF,2.3,2019-20,2.2,11.1,ORL,0.343
aminual01,3.4,6.9,0.484,0.9,4.1,0.216,3.5,30.0,,1.0,9.9,111.0,4.3,11.1,0.384,2.0,2.5,0.818,23.0,14.0,NBA,434.0,2.5,91.0,3.2,11.4,PF,2.1,2020-21,3.1,12.3,2TM,0.424
aminual01,3.8,7.7,0.5,0.9,4.1,0.226,3.8,30.0,,1.2,9.4,111.0,4.8,11.8,0.404,1.9,2.3,0.824,17.0,14.0,NBA,367.0,2.7,93.0,2.9,12.3,PF,2.3,2020-21,3.3,12.1,ORL,0.444
aminual01,0.7,2.9,0.25,0.7,4.3,0.167,1.4,30.0,,0.0,12.3,111.0,1.4,7.2,0.2,2.9,3.6,0.8,6.0,0.0,NBA,67.0,1.4,77.0,5.1,6.5,PF,1.4,2020-21,2.2,13.7,CHI,0.25
