college_player_id,college_url,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Awards,BLK,Class,Conf,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
tony-battie-1,https://www.sports-reference.com/cbb/players/tony-battie-1.html,,,,,,,,,,SO,SWC,,,,,,,,,30.0,29.0,806.0,,,,,C,,1995-96,,,Texas Tech,
tony-battie-1,https://www.sports-reference.com/cbb/players/tony-battie-1.html,,,,,,,,,,JR,Big 12,,,,,,,,,28.0,28.0,978.0,,,,,C,,1996-97,,,Texas Tech,
tony-battie-1,https://www.sports-reference.com/cbb/players/tony-battie-1.html,,,,,,,,,,Career,Career,,,,,,,,,87.0,57.0,2152.0,,,,,,,Career,,,Career,
jerryd-bayless-1,https://www.sports-reference.com/cbb/players/jerryd-bayless-1.html,,,,,,,,,,FR,Pac-10,,,,,,,,,30.0,30.0,1072.0,,,,,G,,2007-08,,,Arizona,
jerryd-bayless-1,https://www.sports-reference.com/cbb/players/jerryd-bayless-1.html,,,,,,,,,,Career,Career,,,,,,,,,30.0,30.0,1072.0,,,,,,,Career,,,Career,
michael-beasley-1,https://www.sports-reference.com/cbb/players/michael-beasley-1.html,,,,,,,,AA-1,,FR,Big 12,,,,,,,,,33.0,33.0,1041.0,,,,,F,,2007-08,,,Kansas St.,
michael-beasley-1,https://www.sports-reference.com/cbb/players/michael-beasley-1.html,,,,,,,,,,Career,Career,,,,,,,,,33.0,33.0,1041.0,,,,,,,Career,,,Career,
charlie-bell-1,https://www.sports-reference.com/cbb/players/charlie-bell-1.html,,,,,,,,,,FR,Big Ten,,,,,,,,,30.0,30.0,726.0,,,,,G,,1997-98,,,Michigan St.,
charlie-bell-1,https://www.sports-reference.com/cbb/players/charlie-bell-1.html,,,,,,,,,,SO,Big Ten,,,,,,,,,38.0,34.0,861.0,,,,,G,,1998-99,,,Michigan St.,
charlie-bell-1,https://www.sports-reference.com/cbb/players/charlie-bell-1.html,,,,,,,,,,JR,Big Ten,,,,,,,,,39.0,38.0,1078.0,,,,,G,,1999-00,,,Michigan St.,
charlie-bell-1,https://www.sports-reference.com/cbb/players/charlie-bell-1.html,,,,,,,,,,SR,Big Ten,,,,,,,,,33.0,33.0,1034.0,,,,,G,,2000-01,,,Michigan St.,
charlie-bell-1,https://www.sports-reference.com/cbb/players/charlie-bell-1.html,,,,,,,,,,Career,Career,,,,,,,,,140.0,135.0,3699.0,,,,,,,Career,,,Career,
raja-bell-1,https://www.sports-reference.com/cbb/players/raja-bell-1.html,,,,,,,,,,FR,NAC,,,,,,,,,30.0,23.0,868.0,,,,,F,,1994-95,,,Boston U.,
raja-bell-1,https://www.sports-reference.com/cbb/players/raja-bell-1.html,,,,,,,,,,SO,NAC,,,,,,,,,28.0,27.0,932.0,,,,,F,,1995-96,,,Boston U.,
